中央政府總預算案,,,,,,,,,
歲出機關別預算表,,,,,,,,,
經資門併計,,,,,中華民國106年度,,,單位：新臺幣千元,
,,4,,"5120109000
一般建築及設備","8,200 ",-,"8,200 ",,
,,,1,"5120109011
交通及運輸設備","8,200 ",-,"8,200 ",新增汰換小客貨兩用車10輛經費如列數。,
,,5,,"5120109800
第一預備金","40,000 ","40,000 ",0 ,仍照上年度預算數編列。,
,3,,,"0020200000
體育署","8,452,845 ","7,275,653 ","1,177,192 ","本科目上年度法定預算數7,276,103千元，
移出「學校體育教育」科目450千元，列入
國民及學前教育署「國民及學前教育行政及
督導」科目項下，淨計如表列上年度預算數
。",
,,,,"5120200000
教育支出","2,832,660 ","1,662,060 ","1,170,600 ",,
,,1,,"5120203000
學校體育教育","2,832,660 ","1,662,060 ","1,170,600 ","本年度預算數之內容與上年度之比較如下：
1.加強學校體育活動及教學發展等經費2,37
   2,348千元，較上年度增列落實學生水域
   運動安全與獎勵各級學校進用專任運動教
   練及高中職體育班聘任巡迴運動傷害防護
   員等經費1,056,601千元。
2.強棒計畫之促進優質學生棒球運動總經費
   1,103,999千元，分4年辦理，103至105年
   度已編列750,000千元，本年度續編最後1
   年經費353,999千元，較上年度增列103,9
   99千元。
3.學校特殊體育活動及教學發展經費31,005
   千元，較上年度增列提升身心障礙學生體
   適能等經費10,000千元。
4.辦理原住民族體育教育經費75,308千元，
   與上年度同。",
,,,,"5320200000
文化支出","5,620,185 ","5,613,593 ","6,592 ",,
,,2,,"5320200100
一般行政","170,482 ","171,747 ","-1,265 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費140,498千元，與上年度同。
2.基本行政工作維持費29,984千元，較上年
   度減列體育聯合辦公大樓消防安全設備改
   善工程等經費1,265千元。",
,,3,,"5320201000
體育行政業務","30,048 ","40,386 ","-10,338 ","本年度預算數30,048千元，係體育行政及督
導經費，較上年度減列辦理智慧休閒與運動
服務加值計畫及購置資訊軟硬體設備等經費
10,338千元。",
,,4,,"5320202000
國家體育建設","5,416,455 ","5,398,260 ","18,195 ","本年度預算數之內容與上年度之比較如下：
1.推展全民運動經費194,075千元，較上年
   度增列23,796千元，包括：
  (1)輔導地方政府與民間團體辦理全民運
     動推展活動等經費144,075千元，較上
     年度減列辦理國民體能檢測站及i運動
     資訊平臺等經費26,204千元。
  (2)新增推展機關、團體及企業機構聘請
     體育專業人員經費50,000千元。
2.推展競技運動經費393,388千元，較上年
   度減列113,099千元，包括：
  (1)統整全國各級運動選手培訓體系及發
     展運動科學等經費310,509千元，較上
     年度減列提升國家競技實力之運動醫學
     暨科學輔助計畫等經費3,099千元。
  (2)強棒計畫之深耕基層棒球扎根工作總
     經費684,001千元，分4年辦理，103至1
     05年度已編列601,122千元，本年度續
     編最後1年經費82,879千元，較上年度
     減列110,000千元。
3.推展國際體育經費90,199千元，較上年度
   增列32,759千元。其中新增2019臺中東亞
   青年運動會籌辦計畫總經費1,393,535千
   元，中央補助557,414千元，分年辦理，
   本年度編列第1年經費35,199千元。
4.整建運動設施經費1,524,096千元，較上
   年度減列1,452,981千元，包括：
  (1)公民營運動場館設施管理與輔導等經
     費24,096千元，較上年度減列水域運動
     整體發展計畫等經費336,231千元。
  (2)改善國民運動環境計畫總經費11,660,
     000千元，分年辦理，99至105年度已編
     列9,638,627千元，本年度續編1,500,0
     00千元，較上年度減列300,000千元。
  (3)上年度國家運動園區整體興設與人才
     培育計畫預算業已編竣，所列516,750
     千元如數減列。
  (4)上年度自行車道整體路網串連建設計
     畫預算業已編竣，所列300,000千元如
     數減列。
5.2017臺北世界大學運動會籌辦計畫總經費
   17,170,543千元，中央補助7,789,868千
   元，分年辦理，100至105年度已編列4,57
   5,171千元，本年度續編3,214,697千元，
   較上年度增列1,527,720千元。",
,,5,,"5320209800
第一預備金","3,200 ","3,200 ",0 ,仍照上年度預算數編列。,
,4,,,"0020300000
青年發展署","495,339 ","402,188 ","93,151 ",,
,,,,"5120300000
教育支出","495,339 ","402,188 ","93,151 ",,
,,1,,"5120300100
一般行政","89,728 ","92,087 ","-2,359 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費66,494千元，較上年度減列撥
   補勞工退休準備金專戶差額等經費1,727
   千元。
2.基本行政工作維持費17,118千元，較上年
   度減列辦理檔案回溯建檔等經費685千元
   。
3.資訊管理計畫經費6,116千元，較上年度
   增列資訊服務等經費53千元。",
,,2,,"5120301000
青年發展工作","404,891 ","309,141 ","95,750 ",,
,,,1,"5120301020
青年生涯輔導","243,289 ","159,089 ","84,200 ","本年度預算數243,289千元，係青年職涯發
展及創新培力業務等經費，較上年度減列辦
理青年創意生活城計畫等經費3,000千元，
增列協助大專畢業生創業服務計畫等經費87
,200千元，計淨增84,200千元。",
,,,2,"5120301021
青年公共參與","70,437 ","65,187 ","5,250 ","本年度預算數70,437千元，係青年政策、志
工及社會參與等經費，較上年度減列輔導青
年發展事務財團法人健全運作等經費320千
元，增列促進青年諮詢組織發展等經費5,57
0千元，計淨增5,250千元。",
,,,3,"5120301022
青年國際及體驗學習","91,165 ","84,865 ","6,300 ","本年度預算數91,165千元，係青年國際參與
及壯遊體驗等經費，較上年度增列辦理國際
體驗學習計畫等經費6,300千元。",
,,3,,"5120309000
一般建築及設備",0 ,240 ,-240 ,,
,,,1,"5120309019
其他設備",0 ,240 ,-240 ,"上年度購置空氣清淨機、會議室投影機及事
務設備等預算業已編竣，所列240千元如數
減列。",
,,4,,"5120309800
第一預備金",720 ,720 ,0 ,仍照上年度預算數編列。,
,5,,,"0021730000
國家圖書館","322,531 ","334,520 ","-11,989 ",,
,,,,"5321730000
文化支出","322,531 ","334,520 ","-11,989 ",,
,,1,,"5321730100
一般行政","195,404 ","199,193 ","-3,789 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費149,545千元，較上年度減列
   撥補勞工退休準備金專戶差額等經費4,45
   9千元。
2.基本行政工作維持費45,859千元，較上年
   度增列辦理環境清潔維護等經費670千元
   。",
,,2,,"5321731000
館務業務活動","123,561 ","133,261 ","-9,700 ",,
,,,1,"5321731020
館藏發展及書目管理","31,877 ","29,877 ","2,000 ","本年度預算數之內容與上年度之比較如下：
1.圖書資訊採訪經費19,682千元，較上年度
   增列辦理文獻數位化等經費1,000千元。
2.圖書資訊編目、國際編碼及書目網路合作
   等經費12,195千元，較上年度增列辦理圖
   書資訊編目等經費1,000千元。",
,,,2,"5321731021
知識服務與典藏","51,618 ","62,218 ","-10,600 ","本年度預算數之內容與上年度之比較如下：
1.書刊閱覽及典藏經費18,153千元，較上年
   度減列視聽資料典藏片庫整修等經費600
   千元，增列辦理閱讀推廣活動及圖書異地
   倉儲管理等經費1,800千元，計淨增1,200
   千元。
2.期刊文獻及知識支援參考服務等經費7,46
   5千元，較上年度增列辦理知識服務推廣
   活動等經費200千元。
3.引文索引資料庫經費26,000千元，較上年
   度減列辦理文獻篇目暨引文建檔等經費12
   ,000千元。",
,,,3,"5321731022
特藏文獻典藏與服務","3,163 ","3,163 ",0 ,"本年度預算數3,163千元，係特藏文獻閱覽
及典藏等經費，與上年度同。",
,,,4,"5321731023
數位知識系統服務","14,623 ","14,723 ",-100 ,"本年度預算數14,623千元，係資訊作業系統
服務等經費，較上年度減列出版品數位化掃
描建檔等經費100千元。",
,,,5,"5321731024
漢學研究業務","13,113 ","13,113 ",0 ,"本年度預算數13,113千元，係漢學研究交流
及資源服務等經費，與上年度同。",
,,,6,"5321731025
圖書館事業發展","2,668 ","2,668 ",0 ,"本年度預算數2,668千元，係圖書館事業研
究及輔導等經費，與上年度同。",
,,,7,"5321731026
國際合作及交流","6,499 ","7,499 ","-1,000 ","本年度預算數6,499千元，係出版品交換及
國際交流等經費，較上年度減列建置出版品
國際交換管理系統等經費1,000千元。",
,,3,,"5321739000
一般建築及設備","2,795 ","1,295 ","1,500 ",,
,,,1,"5321739019
其他設備","2,795 ","1,295 ","1,500 ","本年度預算數2,795千元，係更新安全監控
與監視系統及空調機電設備等經費，較上年
度增列汰購空調主機設備等經費1,500千元
。",
,,4,,"5321739800
第一預備金",771 ,771 ,0 ,仍照上年度預算數編列。,
,6,,,"0021800000
國立公共資訊圖書館","165,081 ","161,551 ","3,530 ",,
,,,,"5321800000
文化支出","165,081 ","161,551 ","3,530 ",,
,,1,,"5321800100
一般行政","128,902 ","125,540 ","3,362 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費95,005千元，較上年度增列員
   工薪俸晉級差額等經費797千元。
2.基本行政工作維持費33,897千元，較上年
   度增列辦公設施維護及行政資訊系統維運
   等經費2,565千元。",
,,2,,"5321801000
館務業務活動","36,079 ","35,911 ",168 ,"本年度預算數36,079千元，係圖書館業務經
費，較上年度增列文獻資料典藏與維護及圖
書資訊服務等經費168千元。",
,,3,,"5321809800
第一預備金",100 ,100 ,0 ,仍照上年度預算數編列。,
,7,,,"0021870000
國立教育廣播電臺","198,714 ","193,202 ","5,512 ",,
,,,,"5121870000
教育支出","198,714 ","193,202 ","5,512 ",,
,,1,,"5121870100
一般行政","153,520 ","153,471 ",49 ,"本年度預算數之內容與上年度之比較如下：
1.人員維持費131,547千元，較上年度減列
   撥補勞工退休準備金專戶差額等經費10,4
   61千元。
2.基本行政工作維持費13,500千元，較上年
   度增列總臺附屬設施改善工程等經費3,87
   5千元。
3.資訊作業維持費8,473千元，較上年度增
   列分眾頻道及隨選服務等資訊系統升級維
   護等經費6,635千元。",
,,2,,"5121870200
臺務業務活動","44,949 ","39,486 ","5,463 ","本年度預算數之內容與上年度之比較如下：
1.節目製作經費14,809千元，較上年度增列
   國際新聞及語文學習節目製播等經費710
   千元。
2.機務維修管理經費8,202千元，較上年度
   增列總臺轉播站機房修繕等經費150千元
   。
3.彰化分臺節目製作及機務管理經費5,826
   千元，較上年度增列購置廣播機器設備等
   經費669千元。
4.高雄分臺節目製作及機務管理經費5,351
   千元，較上年度增列購置廣播機器設備等
   經費1,400千元。
5.花蓮分臺節目製作及機務管理經費3,252
   千元，較上年度增列廣播機器保養及維修
   等經費834千元。
6.臺東分臺節目製作及機務管理經費4,799
   千元，較上年度增列購置廣播機器設備等
   經費1,000千元。
7.節目推廣調查研究經費2,710千元，較上
   年度增列辦理聽眾意見調查等經費700千
   元。",
,,3,,"5121879800
第一預備金",245 ,245 ,0 ,仍照上年度預算數編列。,
,8,,,"0021900000
國家教育研究院","563,431 ","552,241 ","11,190 ",,
,,,,"5121900000
教育支出","563,431 ","552,241 ","11,190 ",,
,,1,,"5121900100
一般行政","293,406 ","282,084 ","11,322 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費198,108千元，較上年度核實
   減列人事費3,397千元。
2.基本行政工作維持費84,321千元，較上年
   度增列建置行政整合系統與辦理圖測大樓
   建造專案管理及設計監造等經費12,827千
   元。
3.資訊運用及管理經費10,977千元，較上年
   度增列汰換資訊設備等經費1,892千元。",
,,2,,"5121900200
院務業務活動","268,843 ","268,975 ",-132 ,,
,,,1,"5121900201
教育研究研習與推廣","268,843 ","268,975 ",-132 ,"本年度預算數之內容與上年度之比較如下：
1.教育制度及政策議題之研究經費10,981千
   元，較上年度增列重大議題之研究等經費
   3,759千元。
2.課程及教學議題之研究經費62,524千元，
   較上年度增列十二年國民基本教育中小學
   課程連貫與統整等經費20,111千元。
3.測驗及評量議題之研究經費59,994千元，
   較上年度減列建置臺灣學生學習成就評量
   資料庫及辦理國際評比等經費12,456千元
   。
4.編譯發展業務經費10,411千元，較上年度
   減列編譯學術名詞工具書及重要圖書等經
   費1,229千元。
5.本國語文教育研究發展經費40,470千元，
   與上年度同。
6.教科書發展業務經費24,146千元，較上年
   度減列辦理高級中等學校教科書審定工作
   及研究發展等經費2,896千元。
7.教育資料蒐集研究與出版經費36,461千元
   ，較上年度減列圖書館營運及讀者服務等
   經費5,899千元。
8.教育人力培訓業務經費23,856千元，較上
   年度減列辦理各項教育研習活動等經費1,
   522千元。",
,,3,,"5121909800
第一預備金","1,182 ","1,182 ",0 ,仍照上年度預算數編列。,
12,,,,"0023000000
法務部主管","31,449,016 ","31,718,824 ","-269,808 ",,
,1,,,"0023010000
法務部","1,265,676 ","1,310,330 ","-44,654 ",,
,,,,"3523010000
司法支出","1,088,784 ","1,085,639 ","3,145 ",,
,,1,,"3523010100
一般行政","576,482 ","571,904 ","4,578 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費398,077千元，較上年度核實
   減列人事費17,190千元。
2.基本行政工作維持費96,704千元，較上年
   度增列辦理辦公室耐震補強工程等經費8,
   314千元。
3.研討（考）暨進修業務經費6,970千元，
   較上年度減列辦理業務研討及座談等經費
   803千元。
4.各項法規問題研究經費5,046千元，較上
   年度增列辦理國際審查會議等經費759千
   元。
5.資訊管理業務經費69,685千元，較上年度
   減列辦理檢察、矯正、廉政資料庫整合提
   升計畫資訊系統建置等經費4,222千元；
   增列法務部智慧網路i-justice計畫等經
   費17,720千元，計淨增13,498千元。",
,,2,,"3523011400
法務行政","344,199 ","369,767 ","-25,568 ","本年度預算數之內容與上年度之比較如下：
1.辦理法律事務業務經費12,304千元，較上
   年度減列法律條文研修及編印會議實錄等
   經費709千元。
2.辦理檢察行政業務經費60,207千元，較上
   年度減列獎勵民眾檢舉各項選舉候選人賄
   選獎勵金等19,677千元。
3.辦理司法保護業務經費261,126千元，較
   上年度減列辦理反賄選宣導等經費6,742
   千元。
4.辦理國際及兩岸法律事務經費10,562千元
   ，較上年度增列辦理兩岸檢察實務研討等
   經費1,560千元。",
,,3,,"3523019000
一般建築及設備","162,490 ","137,731 ","24,759 ",,
,,,1,"3523019019
其他設備","162,490 ","137,731 ","24,759 ","本年度預算數之內容與上年度之比較如下：
1.法務部個人電腦及週邊設備新增汰換計畫
   總經費498,910千元，分年辦理，以前年
   度已編列266,937千元，本年度續編34,24
   0千元，與上年度同。
2.法務部及所屬機關伺服器、儲存設備、網
   路及資訊安全設備效能提升計畫總經費94
   ,134千元，分3年辦理，104及105年度已
   編列60,654千元，本年度續編最後1年經
   費33,480千元，較上年度增列13,000千元
   。
3.法務部及所屬機關應用系統功能強化計畫
   總經費78,580千元，分3年辦理，104及10
   5年度已編列55,290千元，本年度續編最
   後1年經費23,290千元，較上年度減列13,
   000千元。
4.新增購置強化應用於行政執行案件統計預
   測模型之軟體經費700千元。
5.新增法務智慧網路i-Justice計畫經費54,
   280千元。
6.新增主管法規共用系統推動計畫經費7,50
   0千元。
7.新增數位證據保全推動計畫經費9,000千
   元。
8.上年度檢察、矯正、廉政資料庫整合提升
   計畫及建置毒品防制網站預算業已編竣，
   所列46,721千元如數減列。",
,,4,,"3523019800
第一預備金","5,613 ","6,237 ",-624 ,本年度預算數較上年度減列如列數。,
,,,,"5223010000
科學支出","40,000 ","98,700 ","-58,700 ",,
,,5,,"5223015000
司法科技業務","40,000 ","98,700 ","-58,700 ","本年度預算數40,000千元，係辦理檢察卷證
數位化暨獄政假釋無紙化計畫經費，較上年
度減列58,700千元。",
,,,,"7523010000
退休撫卹給付支出","100,000 ","85,000 ","15,000 ",,
,,6,,"7523012000
司法官退休退養給付","100,000 ","85,000 ","15,000 ","本年度預算數100,000千元，係司法官退休
及退養給付經費，較上年度增列15,000千元
。",
,,,,"8923010000
其他支出","36,892 ","40,991 ","-4,099 ",,
,,7,,"8923013000
國家賠償金","36,892 ","40,991 ","-4,099 ","本年度預算數36,892千元，係國家賠償金，
較上年度減列4,099千元。",
,2,,,"0023100000
司法官學院","216,846 ","222,949 ","-6,103 ",,
,,,,"3523100000
司法支出","216,846 ","222,949 ","-6,103 ",,
,,1,,"3523100100
一般行政","67,835 ","92,910 ","-25,075 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費43,779千元，較上年度核實減
   列人事費4,133千元。
2.基本行政工作維持費24,056千元，較上年
   度減列宿舍區建物樓板整修等工程經費20
   ,942千元。",
,,2,,"3523101000
司法人員訓練","148,748 ","129,747 ","19,001 ","本年度預算數之內容與上年度之比較如下：
1.司法官訓練業務經費120,686千元，較上
   年度增列司法官學員生活津貼等經費5,47
   4千元。
2.司法工作人員訓練業務經費28,062千元，
   較上年度增列汰換中央空調系統及網路設
   備等經費13,527千元。",
,,3,,"3523109800
第一預備金",263 ,292 ,-29 ,本年度預算數較上年度減列如列數。,
,3,,,"0023150000
法醫研究所","164,533 ","161,319 ","3,214 ",,
,,,,"3523150000
司法支出","126,533 ","124,929 ","1,604 ",,
,,1,,"3523150100
一般行政","59,917 ","60,949 ","-1,032 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費47,047千元，較上年度核實減
   列人事費932千元。
2.基本行政工作維持費12,870千元，較上年
   度減列通訊費等100千元。",
,,2,,"3523151000
法醫業務","66,438 ","63,782 ","2,656 ","本年度預算數之內容與上年度之比較如下：
1.法醫訓練研究經費21,701千元，較上年度
   增列DNA儲存室建置等經費2,828千元。
2.法醫病理鑑定及指導地檢署法醫業務經費
   32,690千元，較上年度減列辦理解剖及死
   因鑑定等經費445千元。
3.毒物化學鑑定經費6,354千元，與上年度
   同。
4.血清證物鑑定經費5,389千元，較上年度
   增列DNA儲存設備養護等經費273千元。
5.北區解剖室維持經費304千元，與上年度
   同。",
,,3,,"3523159800
第一預備金",178 ,198 ,-20 ,本年度預算數較上年度減列如列數。,
,,,,"5223150000
科學支出","38,000 ","36,390 ","1,610 ",,
,,4,,"5223151100
鑑識科技業務","38,000 ","36,390 ","1,610 ","本年度預算數之內容與上年度之比較如下：
1.辦理法醫病理鑑識研究計畫經費11,301千
   元，較上年度減列購置鑑識儀器設備等經
   費109千元。
2.辦理毒物化學鑑識研究計畫經費16,350千
   元，較上年度減列購置鑑識研究耗材等經
   費520千元。
3.辦理血清證物鑑識研究計畫經費10,349千
   元，較上年度增列購置鑑識儀器設備等經
   費2,239千元。",
,4,,,"0023160000
廉政署","423,749 ","570,102 ","-146,353 ",,
,,,,"3523160000
司法支出","423,749 ","570,102 ","-146,353 ",,
,,1,,"3523160100
一般行政","373,372 ","385,251 ","-11,879 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費324,765千元，較上年度增列
   員工薪俸晉級差額等經費8,298千元。
2.基本行政工作維持費48,607千元，較上年
   度減列辦公廳室租金等經費20,177千元。",
,,2,,"3523161000
廉政業務","49,841 ","50,474 ",-633 ,"本年度預算數之內容與上年度之比較如下：
1.辦理廉政政策規劃考核業務經費15,039千
   元，較上年度減列廉政教材及刊物整合開
   發等經費233千元。
2.辦理貪瀆預防業務經費8,300千元，較上
   年度減列辦理廉政指標民意調查與研究等
   經費169千元。
3.辦理貪瀆及相關犯罪案件調查與督導業務
   經費24,571千元，較上年度減列執行貪瀆
   案件資料查證等經費192千元。
4.辦理政風機構督導審核業務經費1,931千
   元，較上年度減列辦理業務督訪等經費39
   千元。",
,,3,,"3523169000
一般建築及設備",0 ,"133,781 ","-133,781 ",,
,,,1,"3523169002
營建工程",0 ,"132,961 ","-132,961 ","上年度廉政署辦公廳舍遷移整修計畫預算業
已編竣，所列132,961千元如數減列。",
,,,2,"3523169011
交通及運輸設備",0 ,820 ,-820 ,"上年度汰換小客貨兩用車1輛預算業已編竣
，所列820千元如數減列。",
,,4,,"3523169800
第一預備金",536 ,596 ,-60 ,本年度預算數較上年度減列如列數。,
,5,,,"0023170000
矯正署及所屬","12,472,677 ","12,539,333 ","-66,656 ",,
,,,,"3523170000
司法支出","12,442,677 ","12,532,436 ","-89,759 ",,
,,1,,"3523170100
一般行政","168,529 ","173,527 ","-4,998 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費143,652千元，較上年度核實
   減列人事費4,998千元。
2.基本行政工作維持費24,877千元，與上年
   度同。",
,,2,,"3523174100
矯正業務","12,104,948 ","12,120,650 ","-15,702 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費7,852,603千元，較上年度核
   實減列人事費181,895千元。
2.基本行政工作維持費489,808千元，較上
   年度減列物品及機械設備養護費等35,233
   千元。
3.辦理矯正行政業務經費612,753千元，較
   上年度增列辦理矯正機關建築物耐震補強
   工程及改善監視安全設備等經費378,492
   千元。
4.辦理矯正訓練業務經費27,312千元，較上
   年度增列購置受訓學員膳食材料及印製講
   義等經費5,000千元。
5.辦理矯正、醫療及訓練業務經費313,340
   千元，較上年度減列替代役男勤務管理及
   專業訓練等經費16,580千元。
6.辦理收容人給養業務經費1,561,460千元
   ，較上年度減列13,352千元。
7.補助收容人健保費1,247,672千元，較上
   年度減列152,134千元。",
,,3,,"3523178700
改善監所計畫","144,830 ","210,283 ","-65,453 ","本年度預算數之內容與上年度之比較如下：
1.臺中監獄矯正教育館工程計畫總經費63,2
   12千元，分年辦理，以前年度已編列50,5
   49千元，本年度續編最後1年經費12,663
   千元，較上年度減列29,886千元。
2.宜蘭監獄擴建工程計畫總經費581,897千
   元，分年辦理，以前年度已編列148,527
   千元，本年度續編104,167千元，與上年
   度同。
3.新增臺北監獄擴建房舍裝修工程、購置設
   備等經費28,000千元。
4.上年度臺北監獄新(擴)建工程計畫預算業
   已編竣，所列63,567千元，如數減列。",
,,4,,"3523179000
一般建築及設備","4,450 ","5,843 ","-1,393 ",,
,,,1,"3523179011
交通及運輸設備","4,450 ","5,843 ","-1,393 ","本年度預算數之內容與上年度之比較如下：
1.購置自強外役監獄、東成及泰源技能訓練
   所救護車各1輛經費2,490千元。
2.汰換矯正署首長專用車1輛經費690千元。
3.汰換桃園少年輔育院及東成技能訓練所公
   務轎車各1輛經費1,270千元。
4.上年度購置中型警備車1輛、大貨車2輛、
   機車1輛等預算業已編竣，所列5,843千元
   如數減列。",
,,5,,"3523179800
第一預備金","19,920 ","22,133 ","-2,213 ",本年度預算數較上年度減列如列數。,
,,,,"5223170000
科學支出","30,000 ","6,897 ","23,103 ",,
,,6,,"5223175000
司法科技業務","30,000 ","6,897 ","23,103 ","本年度預算數之內容與上年度之比較如下：
1.新增矯正機關智慧監控系統建置計畫經費
   30,000千元。
2.上年度善用智慧科技提升矯正機關安全管
   理效能先期計畫預算業已編竣，所列6,89
   7千元如數減列。",
,6,,,"0023180000
行政執行署及所屬","1,359,818 ","1,326,518 ","33,300 ",,
,,,,"3523180000
司法支出","1,359,818 ","1,326,518 ","33,300 ",,
,,1,,"3523180100
一般行政","106,589 ","103,532 ","3,057 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費96,108千元，較上年度增列員
   工薪俸晉級差額等經費2,226千元。
2.基本行政工作維持費10,481千元，較上年
   度增列導入資訊安全管理系統認證等經費
   831千元。",
,,2,,"3523181000
執行業務","21,655 ","31,251 ","-9,596 ","本年度預算數21,655千元，係辦理及督導執
行業務經費，較上年度減列替代役役男勤務
管理等經費9,596千元。",
,,3,,"3523184000
執行案件處理","1,132,145 ","1,130,539 ","1,606 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費817,334千元，較上年度增列
   員工薪俸晉級差額等經費8,946千元。
2.基本行政工作維持費170,677千元，較上
   年度減列購置文具紙張及書表印製等經費
   5,008千元。
3.辦理執行業務經費144,134千元，較上年
   度減列辦理辦公廳舍耐震補強工程等經費
   2,332千元。",
,,4,,"3523188500
行政執行機關擴(遷)建計畫","88,976 ","50,000 ","38,976 ","本年度預算數之內容與上年度之比較如下：
1.行政執行署高雄分署辦公廳舍自有化中程
   計畫總經費336,868千元，分年辦理，以
   前年度已編列55,251千元，本年度續編60
   ,000千元，較上年度增列10,000千元。
2.新增行政執行署花蓮分署辦公廳舍整修計
   畫經費28,976千元。",
,,5,,"3523189000
一般建築及設備","3,810 ","3,815 ",-5 ,,
,,,1,"3523189011
交通及運輸設備","3,810 ","3,815 ",-5 ,"本年度預算數之內容與上年度之比較如下：
1.汰換新竹、臺中、屏東及宜蘭分署公務轎
   車各1輛，彰化分署公務轎車2輛，經費3,
   810千元。
2.上年度購置公務轎車5輛及勘驗車1輛預算
   業已編竣，所列3,815千元如數減列。",
,,6,,"3523189800
第一預備金","6,643 ","7,381 ",-738 ,本年度預算數較上年度減列如列數。,
,7,,,"0023200000
最高法院檢察署","162,000 ","182,768 ","-20,768 ","本科目上年度法定預算數183,651千元，移
出「一般行政」科目及「檢察業務」科目88
3千元，列入臺灣橋頭地方法院檢察署「一
般行政」科目及「檢察業務」科目項下，淨
計如表列上年度預算數。",
,,,,"3523200000
司法支出","162,000 ","182,768 ","-20,768 ",,
,,1,,"3523200100
一般行政","152,133 ","148,672 ","3,461 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費138,310千元，較上年度增列
   員工薪俸晉級差額等經費3,878千元。
2.基本行政工作維持費13,823千元，較上年
   度減列資訊服務費等417千元。",
,,2,,"3523201000
檢察業務","9,707 ","33,918 ","-24,211 ","本年度預算數之內容與上年度之比較如下：
1.非常上訴暨第三審刑事案件處理經費1,67
   5千元，較上年度增列辦理辦公室耐震補
   強等經費331千元。
2.督導肅貪暨重大刑事案件辦理經費6,498
   千元，較上年度減列購置辦案用文具紙張
   等經費1,590千元。
3.特別偵查組案件偵辦經費1,534千元，較
   上年度減列印製文件及國內出差旅費等2,
   765千元。
4.上年度辦理選舉查察業務預算業已編竣，
   所列20,187千元如數減列。",
,,3,,"3523209800
第一預備金",160 ,178 ,-18 ,本年度預算數較上年度減列如列數。,
,8,,,"0023300000
臺灣高等法院檢察署","864,504 ","874,701 ","-10,197 ","本科目上年度法定預算數875,614千元，移
出「一般行政」科目及「檢察業務」科目1,
766千元，列入臺灣橋頭地方法院檢察署「
一般行政」科目及「檢察業務」科目項下，
另由臺灣臺中地方法院檢察署「一般行政」
科目移入848千元及「檢察業務」科目移入5
千元，移出移入數互抵後，淨計如表列上年
度預算數。",
,,,,"3523300000
司法支出","864,504 ","874,701 ","-10,197 ",,
,,1,,"3523300100
一般行政","664,873 ","703,319 ","-38,446 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費594,416千元，較上年度核實
   減列人事費43,506千元。
2.基本行政工作維持費21,597千元，較上年
   度增列設施及機械設備養護費等60千元。
3.檢舉與查緝毒品獎金經費48,860千元，較
   上年度增列查緝毒品獎金等5,000千元。",
,,2,,"3523301000
檢察業務","188,695 ","158,688 ","30,007 ","本年度預算數之內容與上年度之比較如下：
1.辦理刑事案件偵查及執行等業務經費169,
   558千元，較上年度增列購置科技監控設
   備等經費23,718千元。
2.辦理重大刑事鑑定及涉外刑事案件等業務
   經費19,059千元，較上年度增列辦理查扣
   物品拍賣與保管等經費6,289千元。
3.督導鄉鎮市調解及辦理觀護業務經費78千
   元，與上年度同。",
,,3,,"3523308500
檢察機關擴(遷)建計畫","6,530 ","7,798 ","-1,268 ","臺灣高等法院檢察署暨智慧財產分署、臺灣
臺北地方法院檢察署博一大樓辦公廳舍及舊
有辦公室整修工程計畫總經費(屬臺灣高等
法院檢察署暨智慧財產分署應分攤部分)324
,894千元，分年辦理，105年度已編列7,798
千元，本年度續編第2年經費6,530千元，較
上年度減列1,268千元。",
,,4,,"3523309800
第一預備金","4,406 ","4,896 ",-490 ,本年度預算數較上年度減列如列數。,
,9,,,"0023310000
臺灣高等法院臺中分院檢察署","189,309 ","184,410 ","4,899 ",,
,,,,"3523310000
司法支出","189,309 ","184,410 ","4,899 ",,
,,1,,"3523310100
一般行政","178,690 ","176,749 ","1,941 ","本年度預算數之內容與上年度之比較如下:
1.人員維持費173,307千元，較上年度增列
   員工薪俸晉級差額等經費1,702千元。
2.基本行政工作維持費5,383千元，較上年
   度增列一般事務費及房屋建築養護費等23
   9千元。",
,,2,,"3523311000
檢察業務","10,447 ","7,470 ","2,977 ","本年度預算數10,447千元，係辦理刑事案件
偵查及執行等業務經費，較上年度增列辦理
辦公室耐震補強等工程經費2,977千元。",
,,3,,"3523319800
第一預備金",172 ,191 ,-19 ,本年度預算數較上年度減列如列數。,
,10,,,"0023320000
臺灣高等法院臺南分院檢察署","138,269 ","138,701 ",-432 ,,
