,,,,,,,,
科　　　　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","本年度與
上年度比較",說　　　　　　　　明
,,,02,"　　　68080800602
　　　婦幼及青少年福利服
　　　務計畫","1,894,369","1,746,032","148,337","本年度預算數較上年度增列148,337千元，包括：
1.家庭托育服務1,193,158千元，較上年度增列辦理父母未就業家庭育兒津貼實施計畫及就業者家庭部分托育費用補助186,283千元。
2.兒童及少年寄養63,305千元，較上年度增列辦理高雄市兒童及少年保護個案親屬安置服務方案計畫1,200千元。
3.婦女館及婦幼青少年活動中心業務16,620千元，較上年度增列辦理高雄市中高齡女性及偏鄉生活關懷支持與生涯規劃諮詢服務方案等經費1,514千元。
4.弱勢家庭服務53,597千元，較上年度增列社工人身安全工作補助費等經費3,784千元。
5.托嬰機構業務6,580千元，較上年度減列委託社區設置育兒據點計畫及公共托育服務等經費24,833千元。
6.弱勢家庭兒少扶助448,553千元，較上年度減列弱勢家庭兒童及少年緊急生活補助及扶助等經費18,853千元。
7.其他業務運作維持經費46,439千元，較上年度減列辦理性騷擾個案服務及宣導活動758千元。
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,03,"　　　68080800603
　　　身心障礙福利服務計
　　　畫","4,155,913","3,936,036","219,877","本年度預算數較上年度增列219,877千元，包括：
1.身心障礙市民收容教養及輔助器具補助579,919千元，較上年度增列237千元。
2.社區及居家福利服務措施430,844千元，較上年度增列身心障礙者居家照顧服務等經費196,630千元。
3.身心障礙者生活補助3,117,900千元，較上年度增列27,475千元。
4.辦理身心障礙福利社團機構業務5,684千元，較上年度減列岡山身心障礙福利服務中心硬體設施設備修繕計畫及收托身心障礙者交通費等經費4,340千元。
5.辦理身心障礙者新制鑑評業務9,856千元，較上年度減列直轄市及縣市政府進用社工人力等經費125千元。
　"
,,,04,"　　　68080800604
　　　其他福利服務計畫","8,090","7,577",513,"本年度預算數較上年度增列513千元，包括：
1.推行社會工作業務3,337千元，較上年度增列八仙樂園粉塵爆燃計畫等經費953千元。
2.社會工作發展4,753千元，較上年度減列志工執勤之交通補助等經費440千元。
　"
,,09,,"　　68080807900
　　第一預備金","4,408","4,408",-,
,,,01,"　　　68080807901
　　　第一預備金","4,408","4,408",-,"仍照上年度預算數編列。
　"
,,10,,"　　69080800200
　　國民就業","8,721","8,721",-,
,,,01,"　　　69080800201
　　　國民就業","8,721","8,721",-,"本年度預算數8,721千元，係辦理以工代賑經費，與上年度同。
　"
,002,,,"　00080810000
　高雄市政府社會局仁愛之
　家","52,837","56,342","-3,505",
,,01,,"　　67080810200
　　社會救助","18,268","18,163",105,
,,,01,"　　　67080810203
　　　仁愛之家公費家民給
　　　養","18,268","18,163",105,"本年度預算數較上年度增列105千元，包括：
1.新增公費安養家民每季營養品經費52千元。
2.委託民間單位辦理養護老人長期照顧服務費用5,817千元，較上年度增列105千元。
3.委託殯葬業者辦理亡故家民喪葬事宜(含壽衣)經費338千元，較上年度減列52千元。
　"
,,02,,"　　68080810100
　　一般行政","33,136","36,746","-3,610",
,,,01,"　　　68080810101
　　　行政管理","33,136","36,746","-3,610","本年度預算數之內容與上年度之比較如下：
1.人員維持費23,504千元，較上年度核實減列人事費3,456千元。
2.基本行政工作維持費9,632千元，較上年度減列室內空氣品質檢驗測定費及網路設備汰換等經費154千元。
　"
,,03,,"　　68080810600
　　福利服務","1,433","1,433",-,
,,,01,"　　　68080810605
　　　仁愛之家自費家民安
　　　養","1,433","1,433",-,"本年度預算數1,433千元，係辦理自費家民安養經費，與上年度同。
　"
,003,,,"　00080820000
　高雄市政府社會局兒童福
　利服務中心","57,157","43,163","13,994",
,,01,,"　　68080820100
　　一般行政","23,203","24,266","-1,063",
,,,01,"　　　68080820101
　　　行政管理","23,203","24,266","-1,063","本年度預算數之內容與上年度之比較如下：
1.人員維持費19,104千元，較上年度核實減列人事費1,037千元。
2.基本行政工作維持費4,099千元，較上年度減列退休員工三節慰問金等經費26千元。
　"
,,02,,"　　68080820600
　　福利服務","33,954","18,897","15,057",
,,,01,"　　　68080820606
　　　兒童福利服務","33,954","18,897","15,057","本年度預算數較上年度增列15,057千元，包括:
1.兒福業務推廣20,401千元，較上年度增列公設民營育兒資源中心服務據點經費15,025千元。
2.推廣早期療育13,553千元，較上年度增列發展遲緩兒童早期療育經費32千元。
　"
,004,,,"　00080830000
　高雄市政府社會局無障礙
　之家","79,247","76,942","2,305",
,,01,,"　　68080830100
　　一般行政","58,112","55,527","2,585",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　68080830101
　　　行政管理","58,112","55,527","2,585","本年度預算數之內容與上年度之比較如下：
1.人員維持費49,512千元，較上年度減列建構身心障礙者多元支持與生涯轉銜服務計畫20千元。
2.基本行政工作維持費8,600千元，較上年度增列購置個人電腦及無障礙之家北區分院興建計畫等經費2,605千元。
　"
,,02,,"　　68080830600
　　福利服務","21,135","21,415",-280,
,,,01,"　　　68080830607
　　　家民教養","21,135","21,415",-280,"本年度預算數21,135千元，較上年度減列建構身心障礙者多元支持與生涯轉銜服務計畫聘用社工員薪資及年終獎金等經費280千元。
　
　"
,005,,,"　00080840000
　高雄市政府社會局長青綜
　合服務中心","92,212","88,208","4,004",
,,01,,"　　68080840100
　　一般行政","19,246","19,258",-12,
,,,01,"　　　68080840101
　　　行政管理","19,246","19,258",-12,"本年度預算數之內容與上年度之比較如下：
1.人員維持費18,799千元，與上年度同。
2.基本行政工作維持費447千元，較上年度減列退休員工三節慰問金12千元。
　"
,,02,,"　　68080840600
　　福利服務","72,966","68,950","4,016",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　68080840608
　　　加強老人育樂及照顧
　　　服務","72,966","68,950","4,016","本年度預算數較上年度增列4,016千元，包括：
1.新增獨居老人個案管理系統維護、老人監護宣告案件訪視調查、社區照顧關懷據點多元服務及小型冰水送風機更換維修工程等經費2,490千元。
2.辦理社區照顧關懷據點督導計畫經費8,277千元，較上年度增列252千元。
3.辦理「我國長期照顧十年計畫2.0」經費11,444千元，較上年度增列2,251千元。
4.獨居老人關懷服務及補助團體辦理社區關懷據點等相關經費6,961千元，較上年度增列542千元。
5.補助里辦公處辦理社區照顧關懷據點計畫經費1,183千元，較上年度減列228千元。
6.上年度辦理長青運動會、設置中央空調系統冰水水質處理及除、防鏽系統，預算業已編竣，所列1,291千元如數減列。
　"
,006,,,"　00080850000
　高雄市政府社會局家庭暴
　力及性侵害防治中心","138,304","132,508","5,796",
,,01,,"　　68080850100
　　一般行政","84,452","83,394","1,058",
,,,01,"　　　68080850101
　　　行政管理","84,452","79,062","5,390","本年度預算數之內容與上年度之比較如下：
1.人員維持費78,864千元，較上年度增列家庭暴力及性侵害防治社工人力計畫等經費633千元。
2.基本行政工作維持費5,588千元，較上年度增列併入業務管理、高雄市設置偏鄉遠距視訊設備五年方案及購置公務電腦等經費4,757千元。
　"
,,,02,"　　　68080850102
　　　業務管理",-,"4,332","-4,332","上年度辦理業務管理，所列4,332千元移編至行政管理。
　"
,,02,,"　　68080850600
　　福利服務","53,852","49,114","4,738",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　68080850609
　　　家庭暴力及性侵害防
　　　治業務","28,331","24,793","3,538","本年度預算數較上年度增列3,538千元，包括：
1.家庭暴力防治業務20,020千元，較上年度增列委辦個案追蹤輔導服務、未成年子女監督會面服務及高雄市原鄉家庭暴力防治三年計畫等經費2,788千元。
2.性侵防治業務8,311千元，較上年度增列性侵害被害人心理鑑定及早期鑑定方案等經費750千元。
　"
,,,02,"　　　68080850610
　　　兒童及少年保護服務
　　　業務","25,521","24,321","1,200","本年度預算數25,521千元，較上年度增列委辦強制性親職教育、兒少保護個案輔導方案等經費1,200千元。
　"
09,,,,"00090000000
高雄市政府警察局主管","9,704,179","9,752,120","-47,941",
,001,,,"　00090900000
　高雄市政府警察局","9,704,179","9,752,120","-47,941",
,,01,,"　　77090900100
　　一般行政","748,556","712,152","36,404",
,,,01,"　　　77090900101
　　　行政管理","727,279","697,942","29,337","0901-高雄市政府警察局局本部
本年度預算數之內容與上年度之比較如下：
1.人員維持費718,075千元，較上年度核實增列人事費30,098千元。
2.基本行政工作維持費9,204千元，較上年度增列辦理公務所需費用997千元及減列退休人員三節慰問金1,758千元。
　"
,,,02,"　　　77090900102
　　　公關業務",933,946,-13,"0901-高雄市政府警察局局本部
本年度預算數933千元，較上年度減列設備及投資13千元。
　"
,,,03,"　　　77090900103
　　　資訊業務","16,189","9,109","7,080","0901-高雄市政府警察局局本部
本年度預算數16,189千元，較上年度增列資訊軟硬體設備等經費7,080千元。
　"
,,,04,"　　　77090900104
　　　業務行政","4,155","4,155",-,"0901-高雄市政府警察局局本部
本年度預算數4,155千元，係辦理局本部會計、人事、政風等相關業務經費，與上年度同。
　"
,,02,,"　　77090900200
　　行政業務","142,431","171,201","-28,770",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　77090900201
　　　業務管理","103,855","133,520","-29,665","0901-高雄市政府警察局局本部
本年度預算數較上年度減列29,665千元，包括：
1.車輛及冷氣維修等經費8,790千元，較上年度增列197千元。
2.設備及投資4,385千元，較上年度增列3,888千元。
3.警用車輛38,532千元，較上年度減列3,750千元。
4.上年度辦理公共建設及辦公環境設備充實改善計畫預算業已編竣，所列30,000千元如數減列。
　"
,,,02,"　　　77090900202
　　　行政警察業務","38,306","37,411",895,"0901-高雄市政府警察局局本部
本年度預算數38,306千元，較上年度增列志工意外事故保險費及義警(社區輔警)服裝及配件經費895千元。
　"
,,,03,"　　　77090900203
　　　外事警察業務",270,270,-,"0901-高雄市政府警察局局本部
本年度預算數270千元，係辦理各國駐華使領館與官員保護、外國團體安全維護等經費，與上年度同。
　"
,,03,,"　　77090900300
　　保安業務","59,301","47,473","11,828",
,,,01,"　　　77090900301
　　　保安警察業務","6,511","6,511",-,"0901-高雄市政府警察局局本部
本年度預算數6,511千元，係辦理保安警備措施規劃與督導、軍事動員與後備軍人召集之協助等經費，與上年度同。
　"
,,,02,"　　　77090900302
　　　犯罪預防業務","52,790","40,962","11,828","0901-高雄市政府警察局局本部
本年度預算數較上年度增列11,828千元，包括：
1.新增各里守望相助巡守隊共同裝備等相關經費2,854千元。
2.新增監錄系統導入車牌辨識等影像分析功能10,000千元。
3.增列本市監錄系統視傳中心平台及光纖維護費500千元。
4.增列補助各里守望相助巡守隊及巡守隊員保險醫療慰問等相關經費102千元。
5.減列替代役男相關經費299千元。
6.減列科技部南部科學工業園區管理局補助地方政府建設經費1,329千元。
　"
,,04,,"　　77090900400
　　保防業務",452,485,-33,
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　77090900401
　　　保防管理",452,485,-33,"0901-高雄市政府警察局局本部
本年度預算數452千元，較上年度減列物品設備33千元。
　"
,,05,,"　　77090900500
　　督察業務","8,347","15,695","-7,348",
,,,01,"　　　77090900501
　　　勤務督察","2,842","2,842",-,"0901-高雄市政府警察局局本部
本年度預算數2,842千元，係辦理員警服務態度、申訴、傷殘慰問濟助，各種勤業務督導考核等經費，與上年度同。
　"
,,,02,"　　　77090900502
　　　常年訓練","3,143","3,143",-,"0901-高雄市政府警察局局本部
本年度預算數3,143千元，係辦理警察教育、訓練、進修及警察學術倡導等事項經費，與上年度同。
　"
,,,03,"　　　77090900503
　　　勤務指揮","2,362","9,710","-7,348","0901-高雄市政府警察局局本部
本年度預算數2,362千元，較上年度減列110受理派遣系統話務受理系統7,348千元。
　"
,,06,,"　　77090900600
　　防治業務","5,736","5,736",-,
,,,01,"　　　77090900601
　　　戶口組訓管理","5,736","5,736",-,"0901-高雄市政府警察局局本部
本年度預算數5,736千元，係辦理勤區查察推展與督導、考核民防團體編組、訓練督導等經費，與上年度同。
　"
,,07,,"　　77090900700
　　民防業務","2,341","2,341",-,
,,,01,"　　　77090900701
　　　防情偵察","2,341","2,341",-,"0901-高雄市政府警察局局本部
本年度預算數2,341千元，係辦理充實防情管制設備，加強民防防情通訊，充實有線、無線電通訊設備等，與上年度同。
　"
,,08,,"　　77090900800
　　刑事警察業務","6,401","4,327","2,074",
,,,01,"　　　77090900801
　　　鑑識工作","6,401","4,327","2,074","0901-高雄市政府警察局局本部
本年度預算數6,401千元，較上年度增列數位相機、排煙櫃及指紋活體掃描器等2,074千元。
　"
,,09,,"　　77090900900
　　警隊業務","346,613","339,462","7,151",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　77090900901
　　　一般行政","277,993","273,997","3,996","0922-高雄市政府警察局少年警察隊
本年度預算數93,082千元之內容與上年度之比較如下：
1.人員維持費92,750千元，較上年度核實增列人事費846千元。
2.基本行政工作維持費332千元，較上年度減列退休人員三節慰問金180千元。
0923-高雄市政府警察局通信隊
本年度預算數38,155千元之內容與上年度之比較如下：
1.人員維持費37,765千元，較上年度核實減列人事費255千元。
2.基本行政工作維持費390千元，較上年度減列退休人員三節慰問金246千元。
0924-高雄市政府警察局婦幼警察隊
本年度預算數77,503千元之內容與上年度之比較如下:
1.人員維持費77,165千元，較上年度核實增列人事費2,691千元。
2.基本行政工作維持費338千元，較上年度減列退休人員三節慰問金60千元。
0925-高雄市政府警察局捷運警察隊
本年度預算數69,253千元之內容與上年度之比較如下：
1.人員維持費68,970千元，較上年度核實增列人事費1,224千元。
2.基本行政工作維持費283千元，較上年度減列退休人員三節慰問金24千元。
　"
,,,02,"　　　77090900902
　　　婦幼警察業務","17,350","15,267","2,083","0924-高雄市政府警察局婦幼警察隊
本年度預算數17,350千元，較上年度增列2,083千元，包括:
1.增列設備及投資3,027千元。
2.其他業務運作維持經費3,820千元，較上年度增列91千元。
3.減列超勤加班費1,035千元。
　"
,,,03,"　　　77090900903
　　　少年警察業務","19,323","20,247",-924,"0922-高雄市政府警察局少年警察隊
本年度預算數19,323千元較上年度減列924千元，包括：
1.減列超勤加班費683千元。
2.其他業務運作維持經費3,792千元，較上年度減列170千元。
3.減列設備及投資71千元。

　
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,04,"　　　77090900904
　　　通信業務","21,789","19,494","2,295","0923-高雄市政府警察局通信隊
本年度預算數21,789千元較上年度增列2,295千元，包括：
1.增列設備及投資2千元。
2.其他業務運作維持經費19,863千元，較上年度增列2,647千元。
3.減列加班值班費354千元。
　"
,,,05,"　　　77090900905
　　　捷運警察業務","10,158","10,457",-299,"0925-高雄市政府警察局捷運警察隊
本年度預算數10,158千元較上年度減列299千元，包括：
1.增列設備及投資32千元。
2.其他業務運作維持經費1,186千元，較上年度增列157千元。
3.減列超勤加班費488千元。
　"
,,10,,"　　77090901000
　　分局業務","6,404,987","6,396,952","8,035",
,,,01,"　　　77090901001
　　　一般行政","5,320,427","5,314,416","6,011","0902-高雄市政府警察局新興分局
本年度預算數336,280千元之內容與上年度之比較如下：
1.人員維持費334,923千元，較上年度核實減列人事費12,649千元。
2.基本行政工作維持費1,357千元，較上年度減列退休人員三節慰問金540千元。
0903-高雄市政府警察局鹽埕分局
本年度預算數164,518千元之內容與上年度之比較如下：
1.人員維持費163,809千元，較上年度核實增列人事費1,063千元。
2.基本行政工作維持費709千元，較上年度減列退休人員三節慰問金234千元。
0904-高雄市政府警察局左營分局
本年度預算數323,136千元之內容與上年度之比較如下:
1.人員維持費321,780千元，較上年度核實減列人事費4,318千元。
2.基本行政工作維持費1,356千元較上年度減列退休人員三節慰問金336千元。
0905-高雄市政府警察局鼓山分局
本年度預算數319,004千元之內容與上年度比較如下：
1.人員維持費317,627千元，較上年度核實減列人事費2,265千元。
2.基本行政工作維持費1,377千元，較上年度減列退休人員三節慰問金318千元。
0906-高雄市政府警察局苓雅分局
本年度預算數362,163千元之內容與上年度之比較如下：
1.人員維持費360,692千元，較上年度核實減列人事費1,656千元。
2.基本行政工作維持費1,471千元，較上年度減列退休人員三節慰問金492千元。
0907-高雄市政府警察局三民第一分局
本年度預算數290,930千元之內容與上年度之比較如下:
1.人員維持費289,750千元，較上年度核實增列人事費3,690千元。
2.基本行政工作維持費1,180千元，較上年度減列退休人員三節慰問金474千元。
0908-高雄市政府警察局三民第二分局
本年度預算數354,369千元之內容與上年度之比較如下：
1.人員維持費352,754千元，較上年度核實增列人事費1,209千元。
2.基本行政工作維持費1,615千元，較上年度減列退休人員三節慰問金240千元。
0909-高雄市政府警察局前鎮分局
本年度預算數351,614千元之內容與上年度之比較如下：
1.人員維持費350,189千元，較上年度核實增列人事費3,390千元。
2.基本行政工作維持費1,425千元，較上年度減列退休人員三節慰問金322千元。
0910-高雄市政府警察局小港分局
本年度預算數283,670千元之內容與上年度之比較如下：
1.人員維持費282,427千元，較上年度核實增列人事費2,030千元。
2.基本行政工作維持費1,243千元，較上年度減列退休人員三節慰問金等263千元。
0911-高雄市政府警察局楠梓分局
本年度預算數253,325千元之內容與上年度之比較如下:
1.人員維持費252,115千元，較上年度核實減列人事費10,051千元。
2.基本行政工作維持費1,210千元，較上年度減列退休人員三節慰問金等234千元。
0912-高雄市政府警察局鳳山分局
本年度預算數513,083千元之內容與上年度之比較如下：
1.人員維持費510,792千元，較上年度核實減列人事費5,636千元。
2.基本行政工作維持費2,291千元,較上年度減列退休人員三節慰問金330千元。
0913-高雄市政府警察局仁武分局
本年度預算數308,694千元之內容與上年度之比較如下：
1.人員維持費307,364千元，較上年度核實增列人事費18,744千元。
2.基本行政工作維持費1,330千元，較上年度增列辦理公務所需費用2千元及減列退休人員三節慰問金等188千元。
0914-高雄市政府警察局林園分局
本年度預算數299,837千元之內容與上年度之比較如下：
1.人員維持費298,582千元，較上年度核實增列人事費2,944千元。
2.基本行政工作維持費1,255千元,較上年度減列退休人員三節慰問金270千元。
0915-高雄市政府警察局岡山分局
本年度預算數359,101千元之內容與上年度之比較如下：
1.人員維持費357,416千元，較上年度核實增列人事費1,870千元。
2.基本行政工作維持費1,685千元，較上年度增列辦理公務所需費用12千元及減列退休人員三節慰問金240千元。
0916-高雄市政府警察局湖內分局
本年度預算數269,572千元之內容與上年度之比較如下：
1.人員維持費268,297千元，較上年度核實增列人事費4,273千元。
2.基本行政工作維持費1,275千元，較上年度增列辦理公務所需費用18千元及減列退休人員三節慰問金210千元。
0917-高雄市政府警察局旗山分局
本年度預算數292,496千元之內容與上年度之比較如下：
1.人員維持費291,294千元，較上年度核實減列人事費306千元。
2.基本行政工作維持費1,202千元，較上年度增列公務人員健康檢查18千元及減列退休人員三節慰問金300千元。
0918-高雄市政府警察局六龜分局
本年度預算數238,635千元之內容與上年度之比較如下：
1.人員維持費237,492千元，較上年度核實增列人事費8,998千元。
2.基本行政工作維持費1,143千元較上年度減列退休人員三節慰問金378千元。
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,02,"　　　77090901002
　　　各分局業務","1,084,560","1,082,536","2,024","0902-高雄市政府警察局新興分局
本年度預算數77,953千元較上年度增列2,257千元，包括：
1.增列超勤加班費1,072千元。
2.增列列設備及投資845千元。
3.其他業務運作維持經費21,563千元，較上年度增列340千元。
0903-高雄市政府警察局鹽埕分局
本年度預算數32,547千元較上年度增列714千元，包括：
1.增列超勤加班費884千元。
2.減列設備及投資23千元。
3.其他業務運作維持經費11,066千元，較上年度減列147千元。
0904-高雄市政府警察局左營分局
本年度預算數72,985千元較上年度增列1,636千元，包括:
1.增列超勤加班費1,471千元。
2.其他業務運作維持經費22,249千元，較上年度增列227千元。
3.減列設備及投資62千元。
0905-高雄市政府警察局鼓山分局
本年度預算數65,872千元較上年度增列1,968千元，包括：
1.新增2017生態交通全球盛典活動等相關經費1,322千元。
2.增列超勤加班費324千元。
3.其他業務運作維持經費18,524千元，較上年度增列547千元。
4.減列設備及投資225千元。
0906-高雄市政府警察局苓雅分局
本年度預算數82,318千元較上年度增列934千元，包括：
1.增列超勤加班費490千元。
2.其他業務運作維持經費24,312千元，較上年度增列395千元。
3.增列設備及投資49千元。
0907-高雄市政府警察局三民第一分局
本年度預算數59,992千元較上年度增列1,493千元，包括：
1.增列超勤加班費410千元。
2.增列設備及投資55千元。
3.其他業務運作維持經費19,399千元，較上年度增列1,028千元。
0908-高雄市政府警察局三民第二分局
本年度預算數79,468千元較上年度增列467千元，包括：
1.增列設備及投資33千元。
2.其他業務運作維持經費25,868千元，較上年度增列571千元。
3.減列超勤加班費137千元。
0909-高雄市政府警察局前鎮分局
本年度預算數68,682千元較上年度增列 937千元，包括：
1.其他業務運作維持經費19,121千元，較上年度增列1,214千元。
2.減列超勤加班費252千元。
3.減列設備及投資25千元。
0910-高雄市政府警察局小港分局
本年度預算數57,554千元較上年度增列1,327千元，包括：
1.增列設備及投資1,611千元。
2.其他業務運作維持經費15,469千元，較上年度增列1,045千元。
3.減列超勤加班費1,329千元。
0911-高雄市政府警察局楠梓分局
本年度預算數56,402千元較上年度增列361千元，包括：
1.其他業務運作維持經費18,239千元，較上年度增列650千元。
2.減列超勤加班費249千元。
3.減列設備及投資40千元。
0912-高雄市政府警察局鳳山分局
本年度預算數102,785千元較上年度減列1,507千元，包括：
1.減列超勤加班費1,063千元。
2.減列設備及投資362千元。
3.其他業務運作維持經費23,501千元，較上年度減列82千元。
0913-高雄市政府警察局仁武分局
本年度預算數62,984千元較上年度增列670千元，包括：
1.其他業務運作維持經費14,966千元，較上年度增列495千元。
2.增列設備及投資1,081千元。
3.減列超勤加班費906千元。
0914-高雄市政府警察局林園分局
本年度預算數56,596千元較上年度減列195千元，包括：
1.其他業務運作維持經費12,773千元，較上年度增列510千元。
2.減列超勤加班費685千元。
3.減列設備及投資20千元。
0915-高雄市政府警察局岡山分局
本年度預算數70,029千元較上年度減列60千元，包括：
1.其他業務運作維持經費15,190千元，較上年度增列323千元。
2.增列設備及投資461千元。
3.減列超勤加班費844千元。
0916-高雄市政府警察局湖內分局
本年度預算數50,830千元較上年度減列6,138千元，包括:
1.減列超勤加班費271千元。
2.減列設備及投資5,743千元。  
3.其他業務運作維持經費10,285千元，較上年度減列124千元。
0917-高雄市政府警察局旗山分局
本年度預算數51,255千元較上年度減列346千元，包括：
1.其他業務運作維持經費13,077千元，較上年度增列192千元。
2.減列超勤加班費423千元。
3.減列設備及投資115千元。
0918-高雄市政府警察局六龜分局
本年度預算數36,308千元較上年度減列2,494千元包括：
1.減列超勤加班費1,834千元。
2.減列設備及投資434千元。
3.其他業務運作維持經費7,964千元，較上年度減列226千元。
　"
,,11,,"　　77090901100
　　大隊業務","1,978,384","2,055,666","-77,282",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　77090901101
　　　一般行政","1,514,073","1,601,878","-87,805","0919-高雄市政府警察局刑事警察大隊
本年度預算數371,125千元之內容與上年度之比較如下：
1.人員維持費369,715千元，較上年度核實減列人事費11,799千元。
2.基本行政工作維持費1,410千元，較上年度增列辦理公務所需費用6千元及減列退休人員三節慰問金414千元。
0920-高雄市政府警察局交通警察大隊
本年度預算數682,726千元之內容與上年度之比較如下：
1.人員維持費680,339千元，較上年度核實減列人事費39,465千元。
2.基本行政工作維持費2,387千元，較上年度減列退休人員三節慰問金918千元。
0921-高雄市政府警察局保安警察大隊
本年度預算數460,222千元之內容與上年度之比較如下：
1.人員維持費458,792千元，較上年度核實減列人事費34,281千元。
2.基本行政工作維持費1,430千元，較上年度減列退休人員三節慰問金等934千元。
　"
,,,02,"　　　77090901102
　　　刑警勤務","107,239","110,813","-3,574","0919-高雄市政府警察局刑事警察大隊
本年度預算數107,239千元較上年度減列3,574千元，包括：
1.增列員警值日費11千元。
2.增列設備及投資839千元。
3.減列超勤加班費3,195千元。
4.其他業務運作維持經費42,792千元，較上年度減列1,229千元。
　"
,,,03,"　　　77090901103
　　　保安勤務","84,069","79,758","4,311","0921-高雄市政府警察局保安警察大隊
本年度預算數84,069千元較上年度增列4,311千元，包括：
1.新增福德市場辦公室整修及搬遷經費7,553千元。
2.其他設備及投資增列2,075千元。
3.減列超勤加班費4,379千元。
4.其他業務運作維持經費16,705千元，較上年度減列938千元。
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,04,"　　　77090901104
　　　交通勤務","149,335","154,233","-4,898","0920-高雄市政府警察局交通警察大隊
本年度預算數149,335千元，較上年度減列4,898千元，包括:
1.增列設備及投資111千元。
2.減列超勤加班費3,823千元。
3.其他業務運作維持經費60,472千元，較上年度減列1,186千元。
　"
,,,05,"　　　77090901105
　　　交通安全管理","123,668","108,984","14,684","0920-高雄市政府警察局交通警察大隊
本年度預算數123,668千元，較上年度增列14,684千元，包括:
1.增列設備及投資8,190千元。
2.其他業務運作維持經費85,445千元，較上年度增列6,494千元。
　"
,,12,,"　　77090907900
　　第一預備金",630,630,-,
,,,01,"　　　77090907901
　　　第一預備金",630,630,-,"0901-高雄市政府警察局局本部
仍照上年度預算數編列。
　"
10,,,,"00100000000
高雄市政府衛生局主管","2,250,998","1,725,238","525,760",
,001,,,"　00101000000
　高雄市政府衛生局","2,250,998","1,725,238","525,760",
,,01,,"　　70101000100
　　一般行政","275,473","288,149","-12,676",
